Commune	PTOT	REG	DEP	Région	latitude	longitude	code_insee	Type équipement ou lieu	count	categorie
Saint-Rabier	594.0	75.0	24	Nouvelle-Aquitaine	45.1748183664	1.14559506206	24491.0	Bibliothèque	1	vivant
Saint-Rabier	594.0	75.0	24	Nouvelle-Aquitaine	45.1748183664	1.14559506206	24491.0	Monument	1	patrimoine
Saint-Raphaël	95.0	75.0	24	Nouvelle-Aquitaine	45.3040514722	1.07314023244	24493.0	Espace protégé	1	patrimoine
Saint-Raphaël	95.0	75.0	24	Nouvelle-Aquitaine	45.3040514722	1.07314023244	24493.0	Monument	1	patrimoine
Saint-Romain-de-Monpazier	115.0	75.0	24	Nouvelle-Aquitaine	44.7199482027	0.882032615949	24495.0	Monument	1	patrimoine
Saint-Saud-Lacoussière	841.0	75.0	24	Nouvelle-Aquitaine	45.5365082688	0.839648874583	24498.0	Bibliothèque	1	vivant
Saint-Sauveur	880.0	75.0	24	Nouvelle-Aquitaine	44.8734911381	0.583950004245	24499.0	Monument	1	patrimoine
Saint-Seurin-de-Prats	477.0	75.0	24	Nouvelle-Aquitaine	44.8322841	0.0683826988285	24501.0	Monument	1	patrimoine
Saint-Sulpice-d'Excideuil	362.0	75.0	24	Nouvelle-Aquitaine	45.3955893974	1.01725751316	24505.0	Bibliothèque	1	vivant
Saint-Sulpice-d'Excideuil	362.0	75.0	24	Nouvelle-Aquitaine	45.3955893974	1.01725751316	24505.0	Monument	2	patrimoine
Sainte-Trie	114.0	75.0	24	Nouvelle-Aquitaine	45.2931649261	1.21244167771	24507.0	Monument	1	patrimoine
Saint-Vincent-de-Connezac	680.0	75.0	24	Nouvelle-Aquitaine	45.1654628762	0.392273102143	24509.0	Bibliothèque	1	vivant
Saint-Vincent-de-Cosse	385.0	75.0	24	Nouvelle-Aquitaine	44.8391680454	1.10957506457	24510.0	Bibliothèque	1	vivant
Saint-Vincent-de-Cosse	385.0	75.0	24	Nouvelle-Aquitaine	44.8391680454	1.10957506457	24510.0	Monument	2	patrimoine
Saint-Vincent-Jalmoutiers	238.0	75.0	24	Nouvelle-Aquitaine	45.1841041729	0.193684078767	24511.0	Monument	1	patrimoine
Saint-Vincent-le-Paluel	305.0	75.0	24	Nouvelle-Aquitaine	44.8833667708	1.27542467394	24512.0	Monument	3	patrimoine
Saint-Vincent-sur-l'Isle	320.0	75.0	24	Nouvelle-Aquitaine	45.2416009556	0.899777757535	24513.0	Bibliothèque	1	vivant
Salagnac	725.0	75.0	24	Nouvelle-Aquitaine	45.3155697873	1.21187713732	24515.0	Monument	1	patrimoine
Salignac-Eyvigues	1253.0	75.0	24	Nouvelle-Aquitaine	44.9451208201	1.35948434383	24516.0	Bibliothèque	1	vivant
Salignac-Eyvigues	1253.0	75.0	24	Nouvelle-Aquitaine	44.9451208201	1.35948434383	24516.0	Monument	5	patrimoine
Salignac-Eyvigues	1253.0	75.0	24	Nouvelle-Aquitaine	44.9451208201	1.35948434383	24516.0	Parc et jardin	1	patrimoine
Sarlande	432.0	75.0	24	Nouvelle-Aquitaine	45.4503411384	1.11555486206	24519.0	Monument	1	patrimoine
Sarlat-la-Canéda	9209.0	75.0	24	Nouvelle-Aquitaine	44.8983558068	1.2066486429	24520.0	Bibliothèque	1	vivant
Sarlat-la-Canéda	9209.0	75.0	24	Nouvelle-Aquitaine	44.8983558068	1.2066486429	24520.0	Cinéma	1	vivant
Sarlat-la-Canéda	9209.0	75.0	24	Nouvelle-Aquitaine	44.8983558068	1.2066486429	24520.0	Espace protégé	1	patrimoine
Sarlat-la-Canéda	9209.0	75.0	24	Nouvelle-Aquitaine	44.8983558068	1.2066486429	24520.0	Monument	74	patrimoine
Sarlat-la-Canéda	9209.0	75.0	24	Nouvelle-Aquitaine	44.8983558068	1.2066486429	24520.0	Musée	1	vivant
Sarliac-sur-l'Isle	1054.0	75.0	24	Nouvelle-Aquitaine	45.2398639331	0.866391236032	24521.0	Bibliothèque	1	vivant
Sarliac-sur-l'Isle	1054.0	75.0	24	Nouvelle-Aquitaine	45.2398639331	0.866391236032	24521.0	Lieu archéologique	1	patrimoine
Sarliac-sur-l'Isle	1054.0	75.0	24	Nouvelle-Aquitaine	45.2398639331	0.866391236032	24521.0	Monument	4	patrimoine
Sarrazac	370.0	75.0	24	Nouvelle-Aquitaine	45.4378608397	1.0348457868	24522.0	Bibliothèque	1	vivant
Savignac-de-Miremont	178.0	75.0	24	Nouvelle-Aquitaine	44.9640593259	0.946655287926	24524.0	Lieu archéologique	1	patrimoine
Savignac-de-Miremont	178.0	75.0	24	Nouvelle-Aquitaine	44.9640593259	0.946655287926	24524.0	Monument	1	patrimoine
Savignac-Lédrier	724.0	75.0	24	Nouvelle-Aquitaine	45.3819993943	1.19868234314	24526.0	Bibliothèque	1	vivant
Savignac-Lédrier	724.0	75.0	24	Nouvelle-Aquitaine	45.3819993943	1.19868234314	24526.0	Monument	1	patrimoine
Segonzac	204.0	75.0	24	Nouvelle-Aquitaine	45.2018222099	0.438933354109	24529.0	Bibliothèque	1	vivant
Segonzac	204.0	75.0	24	Nouvelle-Aquitaine	45.2018222099	0.438933354109	24529.0	Monument	2	patrimoine
Sergeac	216.0	75.0	24	Nouvelle-Aquitaine	44.9987285651	1.11549602522	24531.0	Lieu archéologique	3	patrimoine
Sergeac	216.0	75.0	24	Nouvelle-Aquitaine	44.9987285651	1.11549602522	24531.0	Monument	7	patrimoine
Sigoulès-et-Flaugeac	1437.0	75.0	24	Nouvelle-Aquitaine	44.757893297	0.39899735625	24534.0	Bibliothèque	1	vivant
Sigoulès-et-Flaugeac	1437.0	75.0	24	Nouvelle-Aquitaine	44.757893297	0.39899735625	24534.0	Monument	1	patrimoine
Siorac-de-Ribérac	258.0	75.0	24	Nouvelle-Aquitaine	45.1835928036	0.346380237367	24537.0	Monument	1	patrimoine
Siorac-en-Périgord	1078.0	75.0	24	Nouvelle-Aquitaine	44.8168407105	0.979352621358	24538.0	Bibliothèque	1	vivant
