Commune	PTOT	REG	DEP	Région	latitude	longitude	code_insee	Type équipement ou lieu	count	categorie
Curciat-Dongalon	462.0	84.0	01	Auvergne-Rhône-Alpes			01139	Monument	1	patrimoine
Curtafond	803.0	84.0	01	Auvergne-Rhône-Alpes			01140	Bibliothèque	1	vivant
Curtafond	803.0	84.0	01	Auvergne-Rhône-Alpes			01140	Monument	1	patrimoine
Divonne-les-Bains	10353.0	84.0	01	Auvergne-Rhône-Alpes			01143	Bibliothèque	1	vivant
Divonne-les-Bains	10353.0	84.0	01	Auvergne-Rhône-Alpes			01143	Cinéma	1	vivant
Divonne-les-Bains	10353.0	84.0	01	Auvergne-Rhône-Alpes			01143	Monument	1	patrimoine
Dompierre-sur-Veyle	1232.0	84.0	01	Auvergne-Rhône-Alpes			01145	Bibliothèque	1	vivant
Dortan	1992.0	84.0	01	Auvergne-Rhône-Alpes			01148	Bibliothèque	1	vivant
Dortan	1992.0	84.0	01	Auvergne-Rhône-Alpes			01148	Monument	1	patrimoine
Douvres	1123.0	84.0	01	Auvergne-Rhône-Alpes			01149	Bibliothèque	1	vivant
Drom	220.0	84.0	01	Auvergne-Rhône-Alpes			01150	Bibliothèque	1	vivant
Druillat	1168.0	84.0	01	Auvergne-Rhône-Alpes			01151	Bibliothèque	1	vivant
Échallon	791.0	84.0	01	Auvergne-Rhône-Alpes			01152	Bibliothèque	1	vivant
Échenevex	2202.0	84.0	01	Auvergne-Rhône-Alpes			01153	Bibliothèque	1	vivant
Fareins	2487.0	84.0	01	Auvergne-Rhône-Alpes			01157	Bibliothèque	1	vivant
Fareins	2487.0	84.0	01	Auvergne-Rhône-Alpes			01157	Monument	1	patrimoine
Feillens	3452.0	84.0	01	Auvergne-Rhône-Alpes			01159	Bibliothèque	1	vivant
Feillens	3452.0	84.0	01	Auvergne-Rhône-Alpes			01159	Monument	1	patrimoine
Ferney-Voltaire	11093.0	84.0	01	Auvergne-Rhône-Alpes			01160	Bibliothèque	1	vivant
Ferney-Voltaire	11093.0	84.0	01	Auvergne-Rhône-Alpes			01160	Cinéma	1	vivant
Ferney-Voltaire	11093.0	84.0	01	Auvergne-Rhône-Alpes			01160	Conservatoire	1	vivant
Ferney-Voltaire	11093.0	84.0	01	Auvergne-Rhône-Alpes			01160	Librairie	1	vivant
Ferney-Voltaire	11093.0	84.0	01	Auvergne-Rhône-Alpes			01160	Lieu de mémoire	1	patrimoine
Ferney-Voltaire	11093.0	84.0	01	Auvergne-Rhône-Alpes			01160	Monument	6	patrimoine
Flaxieu	67.0	84.0	01	Auvergne-Rhône-Alpes			01162	Monument	2	patrimoine
Foissiat	2047.0	84.0	01	Auvergne-Rhône-Alpes			01163	Bibliothèque	1	vivant
Foissiat	2047.0	84.0	01	Auvergne-Rhône-Alpes			01163	Monument	1	patrimoine
Francheleins	1619.0	84.0	01	Auvergne-Rhône-Alpes			01165	Monument	1	patrimoine
Frans	2518.0	84.0	01	Auvergne-Rhône-Alpes			01166	Bibliothèque	1	vivant
Frans	2518.0	84.0	01	Auvergne-Rhône-Alpes			01166	Monument	1	patrimoine
Genouilleux	672.0	84.0	01	Auvergne-Rhône-Alpes			01169	Monument	1	patrimoine
Gex	13391.0	84.0	01	Auvergne-Rhône-Alpes			01173	Bibliothèque	1	vivant
Gex	13391.0	84.0	01	Auvergne-Rhône-Alpes			01173	Cinéma	1	vivant
Gex	13391.0	84.0	01	Auvergne-Rhône-Alpes			01173	Monument	2	patrimoine
Grièges	1953.0	84.0	01	Auvergne-Rhône-Alpes			01179	Bibliothèque	1	vivant
Grilly	884.0	84.0	01	Auvergne-Rhône-Alpes			01180	Monument	1	patrimoine
Guéreins	1524.0	84.0	01	Auvergne-Rhône-Alpes			01183	Monument	1	patrimoine
Hautecourt-Romanèche	785.0	84.0	01	Auvergne-Rhône-Alpes			01184	Monument	1	patrimoine
Plateau d'Hauteville	4965.0	84.0	01	Auvergne-Rhône-Alpes			01185	Bibliothèque	1	vivant
Plateau d'Hauteville	4965.0	84.0	01	Auvergne-Rhône-Alpes			01185	Cinéma	1	vivant
Plateau d'Hauteville	4965.0	84.0	01	Auvergne-Rhône-Alpes			01185	Monument	1	patrimoine
Haut Valromey	627.0	84.0	01	Auvergne-Rhône-Alpes			01187	Bibliothèque	1	vivant
Haut Valromey	627.0	84.0	01	Auvergne-Rhône-Alpes			01187	Monument	1	patrimoine
Illiat	710.0	84.0	01	Auvergne-Rhône-Alpes			01188	Monument	1	patrimoine
Injoux-Génissiat	1154.0	84.0	01	Auvergne-Rhône-Alpes			01189	Bibliothèque	1	vivant
Injoux-Génissiat	1154.0	84.0	01	Auvergne-Rhône-Alpes			01189	Monument	1	patrimoine
Innimond	90.0	84.0	01	Auvergne-Rhône-Alpes			01190	Bibliothèque	1	vivant
Izernore	2321.0	84.0	01	Auvergne-Rhône-Alpes			01192	Lieu archéologique	2	patrimoine
Izernore	2321.0	84.0	01	Auvergne-Rhône-Alpes			01192	Monument	2	patrimoine
Izernore	2321.0	84.0	01	Auvergne-Rhône-Alpes			01192	Musée	1	vivant
Izieu	228.0	84.0	01	Auvergne-Rhône-Alpes			01193	Monument	1	patrimoine
Jassans-Riottier	6450.0	84.0	01	Auvergne-Rhône-Alpes			01194	Bibliothèque	1	vivant
Jassans-Riottier	6450.0	84.0	01	Auvergne-Rhône-Alpes			01194	Monument	2	patrimoine
Jasseron	1900.0	84.0	01	Auvergne-Rhône-Alpes			01195	Bibliothèque	1	vivant
Jasseron	1900.0	84.0	01	Auvergne-Rhône-Alpes			01195	Monument	2	patrimoine
Jayat	1280.0	84.0	01	Auvergne-Rhône-Alpes			01196	Bibliothèque	1	vivant
Journans	388.0	84.0	01	Auvergne-Rhône-Alpes			01197	Bibliothèque	1	vivant
Joyeux	264.0	84.0	01	Auvergne-Rhône-Alpes			01198	Monument	1	patrimoine
Jujurieux	2168.0	84.0	01	Auvergne-Rhône-Alpes			01199	Bibliothèque	1	vivant
Jujurieux	2168.0	84.0	01	Auvergne-Rhône-Alpes			01199	Monument	3	patrimoine
Labalme	215.0	84.0	01	Auvergne-Rhône-Alpes			01200	Bibliothèque	1	vivant
Lagnieu	7390.0	84.0	01	Auvergne-Rhône-Alpes			01202	Bibliothèque	1	vivant
Lagnieu	7390.0	84.0	01	Auvergne-Rhône-Alpes			01202	Monument	2	patrimoine
Laiz	1328.0	84.0	01	Auvergne-Rhône-Alpes			01203	Bibliothèque	1	vivant
Lavours	137.0	84.0	01	Auvergne-Rhône-Alpes			01208	Monument	1	patrimoine
Léaz	833.0	84.0	01	Auvergne-Rhône-Alpes			01209	Bibliothèque	1	vivant
Léaz	833.0	84.0	01	Auvergne-Rhône-Alpes			01209	Monument	1	patrimoine
Lélex	234.0	84.0	01	Auvergne-Rhône-Alpes			01210	Bibliothèque	1	vivant
Lent	1446.0	84.0	01	Auvergne-Rhône-Alpes			01211	Bibliothèque	1	vivant
Lent	1446.0	84.0	01	Auvergne-Rhône-Alpes			01211	Monument	1	patrimoine
Lescheroux	722.0	84.0	01	Auvergne-Rhône-Alpes			01212	Bibliothèque	1	vivant
Surjoux-Lhopital	145.0	84.0	01	Auvergne-Rhône-Alpes			01215	Monument	1	patrimoine
Lhuis	913.0	84.0	01	Auvergne-Rhône-Alpes			01216	Bibliothèque	1	vivant
Lhuis	913.0	84.0	01	Auvergne-Rhône-Alpes			01216	Monument	1	patrimoine
Loyettes	3416.0	84.0	01	Auvergne-Rhône-Alpes			01224	Bibliothèque	1	vivant
