latitude	longitude	code_insee	Type équipement ou lieu	count	categorie
43.5036442498	5.1606136975	13014	Bibliothèque	1	vivant
43.5036442498	5.1606136975	13014	Cinéma	1	vivant
43.5036442498	5.1606136975	13014	Monument	2	patrimoine
43.5036442498	5.1606136975	13014	Service d'archives	1	patrimoine
43.5036442498	5.1606136975	13014	Théâtre	1	vivant
43.4472296617	5.41237056144	13015	Bibliothèque	1	vivant
43.4472296617	5.41237056144	13015	Monument	4	patrimoine
43.4472296617	5.41237056144	13015	Parc et jardin	1	patrimoine
43.4472296617	5.41237056144	13015	Théâtre	1	vivant
43.397192269	5.61980749093	13016	Bibliothèque	1	vivant
43.867766322	4.69754706735	13017	Bibliothèque	1	vivant
43.867766322	4.69754706735	13017	Monument	7	patrimoine
43.867766322	4.69754706735	13017	Théâtre	1	vivant
43.8584804516	4.95793402726	13018	Bibliothèque	1	vivant
43.8584804516	4.95793402726	13018	Monument	1	patrimoine
43.4496421919	5.34976663984	13019	Bibliothèque	1	vivant
43.4496421919	5.34976663984	13019	Monument	2	patrimoine
43.3941966153	5.53223354589	13020	Bibliothèque	1	vivant
43.3427663021	5.15373765817	13021	Bibliothèque	1	vivant
43.3427663021	5.15373765817	13021	Cinéma	1	vivant
43.2230470065	5.55117810991	13022	Bibliothèque	1	vivant
43.2230470065	5.55117810991	13022	Cinéma	1	vivant
43.2230470065	5.55117810991	13022	Lieu de mémoire	1	patrimoine
43.2230470065	5.55117810991	13022	Monument	2	patrimoine
43.2230470065	5.55117810991	13022	Musée	1	vivant
43.2238501508	5.63636473345	13023	Bibliothèque	1	vivant
43.721111879	5.24576645287	13024	Bibliothèque	1	vivant
43.4912659702	5.56821681952	13025	Bibliothèque	1	vivant
43.3865906403	5.14753822568	13026	Bibliothèque	1	vivant
43.3865906403	5.14753822568	13026	Cinéma	1	vivant
43.3865906403	5.14753822568	13026	Service d'archives	1	patrimoine
43.8824707581	4.83990004648	13027	Bibliothèque	1	vivant
43.8824707581	4.83990004648	13027	Cinéma	1	vivant
43.8824707581	4.83990004648	13027	Monument	2	patrimoine
43.8824707581	4.83990004648	13027	Scène	1	vivant
43.1926410861	5.61318955778	13028	Bibliothèque	1	vivant
43.1926410861	5.61318955778	13028	Cinéma	3	vivant
43.1926410861	5.61318955778	13028	Conservatoire	1	vivant
43.1926410861	5.61318955778	13028	Librairie	1	vivant
43.1926410861	5.61318955778	13028	Lieu de mémoire	1	patrimoine
43.1926410861	5.61318955778	13028	Monument	8	patrimoine
43.1926410861	5.61318955778	13028	Musée	1	vivant
43.1926410861	5.61318955778	13028	Service d'archives	1	patrimoine
43.5783400746	5.07659575248	13029	Bibliothèque	1	vivant
43.5783400746	5.07659575248	13029	Espace protégé	1	patrimoine
43.5783400746	5.07659575248	13029	Monument	1	patrimoine
43.2805717043	5.71024615753	13030	Bibliothèque	1	vivant
43.3764232809	5.59885932444	13031	Bibliothèque	1	vivant
43.5711208794	5.32885751916	13032	Bibliothèque	1	vivant
43.5711208794	5.32885751916	13032	Monument	2	patrimoine
43.5711208794	5.32885751916	13032	Parc et jardin	1	patrimoine
43.3536539601	5.19960307575	13033	Bibliothèque	1	vivant
43.7617047487	4.95211983638	13034	Bibliothèque	1	vivant
43.7617047487	4.95211983638	13034	Monument	6	patrimoine
43.7025562953	5.01557705248	13035	Bibliothèque	1	vivant
43.7025562953	5.01557705248	13035	Cinéma	1	vivant
43.7025562953	5.01557705248	13035	Monument	6	patrimoine
43.84304663	4.84289529399	13036	Bibliothèque	1	vivant
43.84304663	4.84289529399	13036	Monument	1	patrimoine
43.84304663	4.84289529399	13036	Parc et jardin	1	patrimoine
43.5544485185	5.20247621443	13037	Bibliothèque	1	vivant
43.5544485185	5.20247621443	13037	Monument	1	patrimoine
43.5544485185	5.20247621443	13037	Service d'archives	1	patrimoine
43.7232610704	4.72310168882	13038	Bibliothèque	1	vivant
43.7232610704	4.72310168882	13038	Cinéma	1	vivant
43.7232610704	4.72310168882	13038	Lieu archéologique	2	patrimoine
43.7232610704	4.72310168882	13038	Monument	21	patrimoine
43.7232610704	4.72310168882	13038	Musée	1	vivant
43.4556812107	4.90452133912	13039	Bibliothèque	1	vivant
43.4556812107	4.90452133912	13039	Cinéma	1	vivant
43.4556812107	4.90452133912	13039	Monument	7	patrimoine
43.4556812107	4.90452133912	13039	Service d'archives	1	patrimoine
43.4556812107	4.90452133912	13039	Théâtre	1	vivant
43.4594948454	5.55305747206	13040	Bibliothèque	1	vivant
43.4594948454	5.55305747206	13040	Monument	1	patrimoine
43.4526063249	5.47963860272	13041	Bibliothèque	1	vivant
43.4526063249	5.47963860272	13041	Cinéma	1	vivant
43.4526063249	5.47963860272	13041	Librairie	1	vivant
43.4526063249	5.47963860272	13041	Monument	1	patrimoine
43.2981044185	5.64391464048	13042	Bibliothèque	1	vivant
